Mb_Opcine,Geo_FIPS,name_bos,name_hrv,name_srb,name_eng,type_bos,type_hrv,type_srb,type_eng,parent_bos,parent_hrv,parent_srb,parent_eng
11126,11126,Visoko,Visoko,Високо,Visoko,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11142,11142,Vitez,Vitez,Витез,Vitez,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11177,11177,Zavidovići,Zavidovići,Завидовићи,Zavidovići,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11185,11185,Zenica,Zenica,Зеница,Zenica,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11207,11207,Žepče,Žepče,Жепче,Žepče,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11215,11215,Živinice,Živinice,Живинице,Živinice,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11231,11231,Čelić,Čelić,Челић,Čelić,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11240,11240,Bužim,Bužim,Бужим,Bužim,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11258,11258,Doboj-Istok,Doboj-Istok,Добој-Исток,Doboj-Istok,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11266,11266,Doboj-Jug,Doboj-Jug,Добој-Југ,Doboj-Jug,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11274,11274,Dobretići,Dobretići,Добретићи,Dobretići,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11282,11282,Domaljevac-Šamac,Domaljevac-Šamac,Домаљевац-Шамац,Domaljevac-Šamac,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11304,11304,Ravno,Ravno,Равно,Ravno,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11312,11312,Sapna,Sapna,Сапна,Sapna,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11339,11339,Teočak,Teočak,Теочак,Teočak,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11410,11410,Grad Mostar,Grad Mostar,Град Мостар,Grad Mostar,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11428,11428,Bosanska Krupa,Bosanska Krupa,Босанска Крупа,Bosanska Krupa,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11436,11436,Bosanski Petrovac,Bosanski Petrovac,Босански Петровац,Bosanski Petrovac,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11444,11444,Foča - FBiH,Foča - FBiH,Фоча - ФБиХ,Foča - FBiH,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11452,11452,Goražde,Goražde,Горажде,Goražde,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11479,11479,Gračanica,Gračanica,Грачаница,Gračanica,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11487,11487,Jajce,Jajce,Јајце,Jajce,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11495,11495,Kalesija,Kalesija,Калесија,Kalesija,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11509,11509,Ključ,Ključ,Кључ,Ključ,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11517,11517,Kupres - FBiH,Kupres - FBiH,Купрес - ФБиХ,Kupres - FBiH,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11525,11525,Odžak,Odžak,Оџак,Odžak,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11533,11533,Orašje,Orašje,Орашје,Orašje,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11541,11541,Sanski Most,Sanski Most,Сански Мост,Sanski Most,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11550,11550,Ilidža,Ilidža,Илиџа,Ilidža,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11568,11568,Novo Sarajevo,Novo Sarajevo,Ново Сарајево,Novo Sarajevo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11576,11576,Pale - FBiH,Pale - FBiH,Пале - ФБиХ,Pale - FBiH,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11584,11584,Stari Grad Sarajevo,Stari Grad Sarajevo,Стари Град Сарајево,Stari Grad Sarajevo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11592,11592,Trnovo - FBiH,Trnovo - FBiH,Трново - ФБиХ,Trnovo - FBiH,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11606,11606,Stolac,Stolac,Столац,Stolac,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11614,11614,Drvar,Drvar,Дрвар,Drvar,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11622,11622,Usora,Usora,Усора,Usora,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
20010,20010,Banja Luka,Banja Luka,Бања Лука,Banja Luka,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20028,20028,Berkovići,Berkovići,Берковићи,Berkovići,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20036,20036,Bijeljina,Bijeljina,Бијељина,Bijeljina,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20044,20044,Bileća,Bileća,Билећа,Bileća,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20052,20052,Bratunac,Bratunac,Братунац,Bratunac,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20079,20079,Brod,Brod,Брод,Brod,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20087,20087,Višegrad,Višegrad,Вишеград,Višegrad,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20095,20095,Vlasenica,Vlasenica,Власеница,Vlasenica,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20109,20109,Vukosavlje,Vukosavlje,Вукосавље,Vukosavlje,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20117,20117,Gacko,Gacko,Гацко,Gacko,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20125,20125,Gradiška,Gradiška,Градишка,Gradiška,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20133,20133,Derventa,Derventa,Дервента,Derventa,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20141,20141,Doboj,Doboj,Добој,Doboj,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20150,20150,Donji Žabar,Donji Žabar,Доњи Жабар,Donji Žabar,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20168,20168,Zvornik,Zvornik,Зворник,Zvornik,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20176,20176,Istočna Ilidža,Istočna Ilidža,Источна Илиџа,Istočna Ilidža,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20184,20184,Istočni Drvar,Istočni Drvar,Источни Дрвар,Istočni Drvar,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20192,20192,Istočni Mostar,Istočni Mostar,Источни Мостар,Istočni Mostar,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20206,20206,Istočni Stari Grad,Istočni Stari Grad,Источни Стари Град,Istočni Stari Grad,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20214,20214,Istočno Novo Sarajevo,Istočno Novo Sarajevo,Источно Ново Сарајево,Istočno Novo Sarajevo,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20222,20222,Jezero,Jezero,Језеро,Jezero,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20249,20249,Kalinovik,Kalinovik,Калиновик,Kalinovik,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20257,20257,Kneževo,Kneževo,Кнежево,Kneževo,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20265,20265,Kozarska Dubica,Kozarska Dubica,Козарска Дубица,Kozarska Dubica,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20273,20273,Kostajnica,Kostajnica,Костајница,Kostajnica,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20281,20281,Kotor Varoš,Kotor Varoš,Котор Варош,Kotor Varoš,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20290,20290,Krupa Na Uni,Krupa Na Uni,Крупа На Уни,Krupa Na Uni,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20303,20303,Kupres - RS,Kupres - RS,Купрес - РС,Kupres - RS,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20311,20311,Laktaši,Laktaši,Лакташи,Laktaši,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20320,20320,Lopare,Lopare,Лопаре,Lopare,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20338,20338,Ljubinje,Ljubinje,Љубиње,Ljubinje,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20346,20346,Milići,Milići,Милићи,Milići,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20354,20354,Modriča,Modriča,Модрича,Modriča,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20362,20362,Mrkonjić Grad,Mrkonjić Grad,Мркоњић Град,Mrkonjić Grad,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20389,20389,Nevesinje,Nevesinje,Невесиње,Nevesinje,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20397,20397,Novi Grad,Novi Grad,Нови Град,Novi Grad,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20419,20419,Novo Goražde,Novo Goražde,Ново Горажде,Novo Goražde,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
20427,20427,Osmaci,Osmaci,Осмаци,Osmaci,Općina,Općina,Општина,Municipality,RS,RS,РС,RS
