ID, ID2, Geo_FIPS, Geo_Qname, DN
3077191, AFG, AFG, Afghanistan, AFG
3077192, AFG, AFG, Afghanistan, AFG
3077193, AFG, AFG, Afghanistan, AFG
3077194, AFG, AFG, Afghanistan, AFG
3077196, AFG, AFG, Afghanistan, AFG
3077197, AFG, AFG, Afghanistan, AFG
3077198, AFG, AFG, Afghanistan, AFG
3077199, AGO, AGO, Angola, AGO-POR
3077200, AGO, AGO, Angola, AGO-POR
3077201, AGO, AGO, Angola, AGO-POR
3077202, AGO, AGO, Angola, AGO-POR
3077204, AGO, AGO, Angola, AGO-POR
3077205, AGO, AGO, Angola, AGO-POR
3077206, AGO, AGO, Angola, AGO-POR
3077207, AGO, AGO, Angola, AGO-POR
3077208, AGO, AGO, Angola, AGO-POR
3077209, AGO, AGO, Angola, AGO-POR
3077210, AGO, AGO, Angola, AGO-POR
3077211, AGO, AGO, Angola, AGO-POR
3077212, AGO, AGO, Angola, AGO-POR
3077213, AGO, AGO, Angola, AGO-POR
3077214, AGO, AGO, Angola, AGO-POR
3077215, AGO, AGO, Angola, AGO-POR
3077217, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077218, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077219, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077220, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077221, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077222, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077223, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077224, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077225, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077226, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077227, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077228, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077229, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077230, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077231, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077232, ALA, ALA, ÃƒÆ’Ã¢â‚¬Â¦land, ALA
3077233, ALB, ALB, Albania, ALB
3077234, ALB, ALB, Albania, ALB
3077235, ALB, ALB, Albania, ALB
3077236, ALB, ALB, Albania, ALB
3077237, ALB, ALB, Albania, ALB
3077238, ALB, ALB, Albania, ALB
3077239, ALB, ALB, Albania, ALB
3077240, ALB, ALB, Albania, ALB
3077241, ALB, ALB, Albania, ALB
3077242, ALB, ALB, Albania, ALB
3077243, ALB, ALB, Albania, ALB
3077244, ALB, ALB, Albania, IA-ALB
3077245, AND, AND, Andorra, AND
3077246, AND, AND, Andorra, AND
3077247, AND, AND, Andorra, AND
3077248, AND, AND, Andorra, AND
3077249, AND, AND, Andorra, AND
3077250, AND, AND, Andorra, AND
3077251, AND, AND, Andorra, AND
3077252, ANT, ANT, Netherlands Antilles, ANT
3077253, ANT, ANT, Netherlands Antilles, ANT
3077254, ANT, ANT, Netherlands Antilles, ANT
3077255, ANT, ANT, Netherlands Antilles, ANT
3077256, ANT, ANT, Netherlands Antilles, ANT
3077257, ARE, ARE, United Arab Emirates, OMN-GBR
3077258, ARE, ARE, United Arab Emirates, OMN-GBR
3077259, ARE, ARE, United Arab Emirates, OMN-GBR
3077260, ARE, ARE, United Arab Emirates, OMN-GBR
3077261, ARE, ARE, United Arab Emirates, OMN-GBR
3077262, ARE, ARE, United Arab Emirates, OMN-GBR
3077263, ARE, ARE, United Arab Emirates, OMN-GBR
3077265, ARG, ARG, Argentina, ARG
3077267, ARG, ARG, Argentina, ARG
3077268, ARG, ARG, Argentina, ARG
3077269, ARG, ARG, Argentina, ARG
3077273, ARG, ARG, Argentina, ARG
3077274, ARG, ARG, Argentina, ARG
3077275, ARG, ARG, Argentina, ARG
3077276, ARG, ARG, Argentina, ARG
3077278, ARG, ARG, Argentina, ARG
3077279, ARG, ARG, Argentina, ARG
3077280, ARG, ARG, Argentina, ARG
3077281, ARG, ARG, Argentina, ARG
3077282, ARG, ARG, Argentina, ARG
3077283, ARG, ARG, Argentina, ARG
3077285, ARG, ARG, Argentina, ARG
3077286, ARG, ARG, Argentina, ARG
3077287, ARG, ARG, Argentina, ARG
3077288, ARM, ARM, Armenia, RUS
3077289, ARM, ARM, Armenia, RUS
3077290, ARM, ARM, Armenia, RUS
3077291, ARM, ARM, Armenia, RUS
3077292, ARM, ARM, Armenia, RUS
3077293, ARM, ARM, Armenia, RUS
3077294, ARM, ARM, Armenia, RUS
3077295, ARM, ARM, Armenia, RUS
3077296, ASM, ASM, American Samoa, ASM
3077297, ASM, ASM, American Samoa, ASM
3077298, ASM, ASM, American Samoa, ASM
3077299, ASM, ASM, American Samoa, ASM
3077300, ATF, ATF, French Southern Territories, ATF
3077301, ATF, ATF, French Southern Territories, ATF
3077302, ATF, ATF, French Southern Territories, ATF
3077303, ATF, ATF, French Southern Territories, ATF
3077304, ATG, ATG, Antigua and Barbuda, ATG
3077305, ATG, ATG, Antigua and Barbuda, ATG
3077306, ATG, ATG, Antigua and Barbuda, ATG
3077307, ATG, ATG, Antigua and Barbuda, ATG
3077308, ATG, ATG, Antigua and Barbuda, ATG
3077309, ATG, ATG, Antigua and Barbuda, ATG
3077310, ATG, ATG, Antigua and Barbuda, ATG
3077311, ATG, ATG, Antigua and Barbuda, ATG
3077312, AUS, AUS, Australia, AUS
3077313, AUS, AUS, Australia, AUS
3077314, AUS, AUS, Australia, AUS
3077316, AUS, AUS, Australia, AUS
3077317, AUS, AUS, Australia, AUS
3077319, AUS, AUS, Australia, AUS
3077320, AUS, AUS, Australia, AUS
3077322, AUS, AUS, Australia, AUS
3077323, AUT, AUT, Austria, AUH
3077324, AUT, AUT, Austria, AUH
3077325, AUT, AUT, Austria, AUH
3077326, AUT, AUT, Austria, AUH
3077327, AUT, AUT, Austria, AUH
3077328, AUT, AUT, Austria, AUH
3077329, AZE, AZE, Azerbaijan, RUS
3077330, AZE, AZE, Azerbaijan, RUS
3077331, AZE, AZE, Azerbaijan, RUS
3077332, AZE, AZE, Azerbaijan, RUS
3077333, AZE, AZE, Azerbaijan, RUS
3077334, AZE, AZE, Azerbaijan, RUS
3077335, AZE, AZE, Azerbaijan, RUS
3077336, AZE, AZE, Azerbaijan, RUS
3077337, AZE, AZE, Azerbaijan, RUS
3077338, AZE, AZE, Azerbaijan, RUS
3077339, AZE, AZE, Azerbaijan, RUS
3077340, AZE, AZE, Azerbaijan, RUS
3077341, AZE, AZE, Azerbaijan, RUS
3077342, AZE, AZE, Azerbaijan, RUS
3077343, AZE, AZE, Azerbaijan, RUS
3077344, AZE, AZE, Azerbaijan, RUS
3077345, AZE, AZE, Azerbaijan, RUS
3077346, AZE, AZE, Azerbaijan, RUS
3077347, AZE, AZE, Azerbaijan, RUS
3077348, AZE, AZE, Azerbaijan, RUS
3077349, AZE, AZE, Azerbaijan, RUS
3077350, AZE, AZE, Azerbaijan, RUS
3077351, AZE, AZE, Azerbaijan, RUS
3077352, AZE, AZE, Azerbaijan, RUS
3077353, AZE, AZE, Azerbaijan, RUS
3077354, AZE, AZE, Azerbaijan, RUS
3077355, AZE, AZE, Azerbaijan, RUS
3077356, AZE, AZE, Azerbaijan, RUS
3077357, AZE, AZE, Azerbaijan, RUS
3077358, AZE, AZE, Azerbaijan, RUS
3077359, AZE, AZE, Azerbaijan, RUS
3077360, AZE, AZE, Azerbaijan, RUS
3077361, AZE, AZE, Azerbaijan, RUS
3077362, AZE, AZE, Azerbaijan, RUS
3077363, AZE, AZE, Azerbaijan, RUS
3077364, AZE, AZE, Azerbaijan, RUS
3077365, AZE, AZE, Azerbaijan, RUS
3077366, AZE, AZE, Azerbaijan, RUS
3077367, AZE, AZE, Azerbaijan, RUS
3077368, AZE, AZE, Azerbaijan, RUS
3077369, AZE, AZE, Azerbaijan, RUS
