ID, ID2, Geo_FIPS, Geo_Qname, DN
3077370, AZE, AZE, Azerbaijan, RUS
3077371, AZE, AZE, Azerbaijan, RUS
3077372, AZE, AZE, Azerbaijan, RUS
3077373, AZE, AZE, Azerbaijan, RUS
3077374, AZE, AZE, Azerbaijan, RUS
3077375, AZE, AZE, Azerbaijan, RUS
3077376, AZE, AZE, Azerbaijan, RUS
3077377, AZE, AZE, Azerbaijan, RUS
3077378, AZE, AZE, Azerbaijan, RUS
3077379, AZE, AZE, Azerbaijan, RUS
3077380, AZE, AZE, Azerbaijan, RUS
3077381, AZE, AZE, Azerbaijan, RUS
3077382, AZE, AZE, Azerbaijan, RUS
3077383, AZE, AZE, Azerbaijan, RUS
3077384, AZE, AZE, Azerbaijan, RUS
3077385, AZE, AZE, Azerbaijan, RUS
3077386, AZE, AZE, Azerbaijan, RUS
3077387, AZE, AZE, Azerbaijan, RUS
3077388, AZE, AZE, Azerbaijan, RUS
3077389, AZE, AZE, Azerbaijan, RUS
3077390, AZE, AZE, Azerbaijan, RUS
3077391, AZE, AZE, Azerbaijan, RUS
3077392, AZE, AZE, Azerbaijan, RUS
3077393, AZE, AZE, Azerbaijan, RUS
3077394, AZE, AZE, Azerbaijan, RUS
3077395, AZE, AZE, Azerbaijan, RUS
3077396, AZE, AZE, Azerbaijan, RUS
3077397, AZE, AZE, Azerbaijan, RUS
3077398, AZE, AZE, Azerbaijan, RUS
3077399, BDI, BDI, Burundi, EAF-GER
3077400, BDI, BDI, Burundi, EAF-GER
3077401, BDI, BDI, Burundi, EAF-GER
3077402, BDI, BDI, Burundi, EAF-GER
3077403, BDI, BDI, Burundi, EAF-GER
3077404, BDI, BDI, Burundi, EAF-GER
3077405, BDI, BDI, Burundi, EAF-GER
3077406, BDI, BDI, Burundi, EAF-GER
3077407, BDI, BDI, Burundi, EAF-GER
3077408, BDI, BDI, Burundi, EAF-GER
3077409, BDI, BDI, Burundi, EAF-GER
3077410, BDI, BDI, Burundi, EAF-GER
3077411, BDI, BDI, Burundi, EAF-GER
3077412, BDI, BDI, Burundi, EAF-GER
3077413, BDI, BDI, Burundi, EAF-GER
3077414, BDI, BDI, Burundi, EAF-GER
3077415, BDI, BDI, Burundi, EAF-GER
3077417, BEN, BEN, Benin, WAF-FRA
3077418, BEN, BEN, Benin, WAF-FRA
3077419, BEN, BEN, Benin, WAF-FRA
3077420, BEN, BEN, Benin, WAF-FRA
3077421, BEN, BEN, Benin, WAF-FRA
3077422, BEN, BEN, Benin, WAF-FRA
3077423, BEN, BEN, Benin, WAF-FRA
3077424, BEN, BEN, Benin, WAF-FRA
3077425, BEN, BEN, Benin, WAF-FRA
3077426, BEN, BEN, Benin, WAF-FRA
3077427, BEN, BEN, Benin, WAF-FRA
3077428, BFA, BFA, Burkina Faso, WAF-FRA
3077429, BFA, BFA, Burkina Faso, WAF-FRA
3077430, BFA, BFA, Burkina Faso, WAF-FRA
3077431, BFA, BFA, Burkina Faso, WAF-FRA
3077432, BFA, BFA, Burkina Faso, WAF-FRA
3077433, BFA, BFA, Burkina Faso, WAF-FRA
3077434, BFA, BFA, Burkina Faso, WAF-FRA
3077435, BFA, BFA, Burkina Faso, WAF-FRA
3077436, BFA, BFA, Burkina Faso, WAF-FRA
3077437, BFA, BFA, Burkina Faso, WAF-FRA
3077438, BFA, BFA, Burkina Faso, WAF-FRA
3077439, BFA, BFA, Burkina Faso, WAF-FRA
3077440, BFA, BFA, Burkina Faso, WAF-FRA
3077441, BFA, BFA, Burkina Faso, WAF-FRA
