ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
3077161,MNE,Montenegro,MNE,Montenegro,-,,-,-
3077162,MNE,Montenegro,MNE,Montenegro,-,,-,-
3077163,SRB,Serbia,SRB,Serbia,-,,-,-
3077164,SRB,Serbia,SRB,Serbia,-,,-,-
3077165,SRB,Serbia,SRB,Serbia,-,,-,-
3077166,SRB,Serbia,SRB,Serbia,-,,-,-
3077167,AFG,Afghanistan,AFG,Afghanistan,,,,
3077168,AFG,Afghanistan,AFG,Afghanistan,,,,
3077169,AFG,Afghanistan,AFG,Afghanistan,,,,
3077170,AFG,Afghanistan,AFG,Afghanistan,,,,
3077171,AFG,Afghanistan,AFG,Afghanistan,,,,
3077172,AFG,Afghanistan,AFG,Afghanistan,,,,
3077173,AFG,Afghanistan,AFG,Afghanistan,,,,
3077174,AFG,Afghanistan,AFG,Afghanistan,,,,
3077175,AFG,Afghanistan,AFG,Afghanistan,,,,
3077176,AFG,Afghanistan,AFG,Afghanistan,,,,
3077177,AFG,Afghanistan,AFG,Afghanistan,,,,
3077178,AFG,Afghanistan,AFG,Afghanistan,,,,
3077179,AFG,Afghanistan,AFG,Afghanistan,,,,
3077180,AFG,Afghanistan,AFG,Afghanistan,,,,
3077181,AFG,Afghanistan,AFG,Afghanistan,,,,
3077182,AFG,Afghanistan,AFG,Afghanistan,,,,
3077183,AFG,Afghanistan,AFG,Afghanistan,,,,
3077184,AFG,Afghanistan,AFG,Afghanistan,,,,
3077185,AFG,Afghanistan,AFG,Afghanistan,,,,
3077186,AFG,Afghanistan,AFG,Afghanistan,,,,
3077187,AFG,Afghanistan,AFG,Afghanistan,,,,
3077188,AFG,Afghanistan,AFG,Afghanistan,,,,
3077189,AFG,Afghanistan,AFG,Afghanistan,,,,
3077190,AFG,Afghanistan,AFG,Afghanistan,,,,
3077191,AFG,Afghanistan,AFG,Afghanistan,,,,
3077192,AFG,Afghanistan,AFG,Afghanistan,,,,
3077193,AFG,Afghanistan,AFG,Afghanistan,,,,
3077194,AFG,Afghanistan,AFG,Afghanistan,,,,
3077196,AFG,Afghanistan,AFG,Afghanistan,,,,
3077197,AFG,Afghanistan,AFG,Afghanistan,,,,
3077198,AFG,Afghanistan,AFG,Afghanistan,,,,
3077199,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077200,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077201,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077202,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077204,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077205,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077206,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077207,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077208,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077209,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077210,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077211,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077212,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077213,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077214,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077215,AGO,Angola,AGO-PRT,Angola (Por),PRT,Portugal,AGO,PRT
3077217,ALA,Aland,RUS,Russia,,,,
3077218,ALA,Aland,RUS,Russia,,,,
3077219,ALA,Aland,RUS,Russia,,,,
3077220,ALA,Aland,RUS,Russia,,,,
3077221,ALA,Aland,RUS,Russia,,,,
3077222,ALA,Aland,RUS,Russia,,,,
3077223,ALA,Aland,RUS,Russia,,,,
3077224,ALA,Aland,RUS,Russia,,,,
3077225,ALA,Aland,RUS,Russia,,,,
3077226,ALA,Aland,RUS,Russia,,,,
3077227,ALA,Aland,RUS,Russia,,,,
3077228,ALA,Aland,RUS,Russia,,,,
3077229,ALA,Aland,RUS,Russia,,,,
3077230,ALA,Aland,RUS,Russia,,,,
3077231,ALA,Aland,RUS,Russia,,,,
