ID,ISO,NAME_0,ISONEW,Colony
216,CPV,Cape Verde,,
217,CPV,Cape Verde,,
218,CPV,Cape Verde,,
219,CPV,Cape Verde,,
220,CPV,Cape Verde,,
221,CPV,Cape Verde,,
222,CPV,Cape Verde,,
223,CUB,Cuba,,
224,CUB,Cuba,,
225,CUB,Cuba,,
226,CUB,Cuba,,
227,CUB,Cuba,,
228,CUB,Cuba,,
229,CUB,Cuba,,
230,CUB,Cuba,,
231,CUB,Cuba,,
232,CUB,Cuba,,
233,CUB,Cuba,,
234,CUB,Cuba,,
235,CUB,Cuba,,
236,CUB,Cuba,,
237,CUB,Cuba,,
238,CYM,Cayman Islands,,
239,CYM,Cayman Islands,,
240,CYM,Cayman Islands,,
241,CYM,Cayman Islands,,
242,CYM,Cayman Islands,,
243,CYM,Cayman Islands,,
244,CYM,Cayman Islands,,
245,CYP,Cyprus,,
246,CYP,Cyprus,,
247,CYP,Cyprus,,
248,CYP,Cyprus,,
249,CYP,Cyprus,,
250,CYP,Cyprus,,
251,DOM,Dominican Republic,,
252,DOM,Dominican Republic,,
253,DOM,Dominican Republic,,
254,DOM,Dominican Republic,,
255,DOM,Dominican Republic,,
256,DOM,Dominican Republic,,
257,DOM,Dominican Republic,,
258,DOM,Dominican Republic,,
259,DOM,Dominican Republic,,
260,DOM,Dominican Republic,,
261,DOM,Dominican Republic,,
262,DOM,Dominican Republic,,
263,DOM,Dominican Republic,,
264,DOM,Dominican Republic,,
265,DOM,Dominican Republic,,
266,DOM,Dominican Republic,,
267,DOM,Dominican Republic,,
268,DOM,Dominican Republic,,
269,DOM,Dominican Republic,,
270,DOM,Dominican Republic,,
271,DOM,Dominican Republic,,
272,DOM,Dominican Republic,,
273,DOM,Dominican Republic,,
274,DOM,Dominican Republic,,
275,DOM,Dominican Republic,,
276,DOM,Dominican Republic,,
277,DOM,Dominican Republic,,
278,DOM,Dominican Republic,,
279,DOM,Dominican Republic,,
280,DOM,Dominican Republic,,
281,DOM,Dominican Republic,,
282,DOM,Dominican Republic,,
283,EGY,Egypt,,
285,EGY,Egypt,,
286,EGY,Egypt,,
287,EGY,Egypt,,
288,EGY,Egypt,,
289,EGY,Egypt,,
290,EGY,Egypt,,
291,EGY,Egypt,,
292,EGY,Egypt,,
293,EGY,Egypt,,
294,EGY,Egypt,,
296,EGY,Egypt,,
297,EGY,Egypt,,
298,EGY,Egypt,,
299,EGY,Egypt,,
300,EGY,Egypt,,
301,EGY,Egypt,,
302,EGY,Egypt,,
303,EGY,Egypt,,
304,EGY,Egypt,,
306,EGY,Egypt,,
307,EGY,Egypt,,
308,EGY,Egypt,,
309,ESH,Western Sahara,,
311,ESH,Western Sahara,,
313,EST,Estonia,,
314,EST,Estonia,,
315,EST,Estonia,,
316,EST,Estonia,,
317,EST,Estonia,,
318,EST,Estonia,,
319,EST,Estonia,,
320,EST,Estonia,,
321,EST,Estonia,,
322,EST,Estonia,,
323,EST,Estonia,,
324,EST,Estonia,,
325,EST,Estonia,,
326,EST,Estonia,,
327,EST,Estonia,,
328,FSM,Micronesia,,
329,FSM,Micronesia,,
330,FSM,Micronesia,,
331,FSM,Micronesia,,
332,GLP,Guadeloupe,,
333,GLP,Guadeloupe,,
334,GLP,Guadeloupe,,
335,GNQ,Equatorial Guinea,,
336,GNQ,Equatorial Guinea,,
337,GNQ,Equatorial Guinea,,
338,GNQ,Equatorial Guinea,,
339,GNQ,Equatorial Guinea,,
340,GNQ,Equatorial Guinea,,
341,GRD,Grenada,,
342,GRD,Grenada,,
343,GRD,Grenada,,
344,GRD,Grenada,,
345,GRD,Grenada,,
346,GRD,Grenada,,
347,GRD,Grenada,,
348,GUM,Guam,,
349,GUM,Guam,,
350,GUM,Guam,,
351,GUM,Guam,,
352,GUM,Guam,,
353,GUM,Guam,,
354,GUM,Guam,,
355,GUM,Guam,,
356,GUM,Guam,,
357,GUM,Guam,,
358,GUM,Guam,,
359,GUM,Guam,,
360,GUM,Guam,,
361,GUM,Guam,,
362,GUM,Guam,,
363,GUM,Guam,,
364,GUM,Guam,,
365,GUM,Guam,,
366,GUM,Guam,,
367,HKG,Hong Kong,,
368,HKG,Hong Kong,,
369,HKG,Hong Kong,,
370,HKG,Hong Kong,,
371,HKG,Hong Kong,,
372,HKG,Hong Kong,,
373,HKG,Hong Kong,,
374,HKG,Hong Kong,,
375,HKG,Hong Kong,,
376,HKG,Hong Kong,,
377,HKG,Hong Kong,,
378,HKG,Hong Kong,,
379,HKG,Hong Kong,,
380,HKG,Hong Kong,,
381,HKG,Hong Kong,,
382,HKG,Hong Kong,,
383,HKG,Hong Kong,,
384,HKG,Hong Kong,,
385,HRV,Croatia,,
386,HRV,Croatia,,
387,HRV,Croatia,,
388,HRV,Croatia,,
389,HRV,Croatia,,
390,HRV,Croatia,,
391,HRV,Croatia,,
392,HRV,Croatia,,
393,HRV,Croatia,,
394,HRV,Croatia,,
395,HRV,Croatia,,
396,HRV,Croatia,,
397,HRV,Croatia,,
398,HRV,Croatia,,
399,HRV,Croatia,,
400,HRV,Croatia,,
401,HRV,Croatia,,
402,HRV,Croatia,,
403,HRV,Croatia,,
404,HRV,Croatia,,
405,HRV,Croatia,,
406,HUN,Hungary,,
407,HUN,Hungary,,
408,HUN,Hungary,,
409,HUN,Hungary,,
410,HUN,Hungary,,
411,HUN,Hungary,,
412,HUN,Hungary,,
413,HUN,Hungary,,
414,HUN,Hungary,,
415,HUN,Hungary,,
416,HUN,Hungary,,
417,HUN,Hungary,,
418,HUN,Hungary,,
419,HUN,Hungary,,
420,HUN,Hungary,,
421,HUN,Hungary,,
422,HUN,Hungary,,
423,HUN,Hungary,,
424,HUN,Hungary,,
425,HUN,Hungary,,
426,IRL,Ireland,,
427,IRL,Ireland,,
428,IRL,Ireland,,
429,IRL,Ireland,,
430,IRL,Ireland,,
431,IRL,Ireland,,
432,IRL,Ireland,,
433,IRL,Ireland,,
434,IRL,Ireland,,
435,IRL,Ireland,,
436,IRL,Ireland,,
437,IRL,Ireland,,
438,IRL,Ireland,,
439,IRL,Ireland,,
440,IRL,Ireland,,
441,IRL,Ireland,,
442,IRL,Ireland,,
443,IRL,Ireland,,
444,IRL,Ireland,,
445,IRL,Ireland,,
446,IRL,Ireland,,
447,IRL,Ireland,,
448,IRL,Ireland,,
449,IRL,Ireland,,
450,IRL,Ireland,,
451,IRL,Ireland,,
452,ISR,Israel,,
453,ISR,Israel,,
454,ISR,Israel,,
455,ISR,Israel,,
456,ISR,Israel,,
457,ISR,Israel,,
458,ISR,Israel,,
459,JAM,Jamaica,,
460,JAM,Jamaica,,
461,JAM,Jamaica,,
462,JAM,Jamaica,,
463,JAM,Jamaica,,
464,JAM,Jamaica,,
465,JAM,Jamaica,,
466,JAM,Jamaica,,
467,JAM,Jamaica,,
468,JAM,Jamaica,,
469,JAM,Jamaica,,
470,JAM,Jamaica,,
471,JAM,Jamaica,,
472,KGZ,Kyrgyzstan,,
473,KGZ,Kyrgyzstan,,
474,KGZ,Kyrgyzstan,,
476,KGZ,Kyrgyzstan,,
477,KGZ,Kyrgyzstan,,
479,KNA,Saint Kitts and Nevis,,
480,KNA,Saint Kitts and Nevis,,
481,KNA,Saint Kitts and Nevis,,
482,KNA,Saint Kitts and Nevis,,
483,KNA,Saint Kitts and Nevis,,
484,KNA,Saint Kitts and Nevis,,
485,KNA,Saint Kitts and Nevis,,
486,KNA,Saint Kitts and Nevis,,
487,KNA,Saint Kitts and Nevis,,
488,KNA,Saint Kitts and Nevis,,
489,KNA,Saint Kitts and Nevis,,
490,KNA,Saint Kitts and Nevis,,
491,KNA,Saint Kitts and Nevis,,
492,KNA,Saint Kitts and Nevis,,
493,KWT,Kuwait,,
494,KWT,Kuwait,,
495,KWT,Kuwait,,
496,KWT,Kuwait,,
497,KWT,Kuwait,,
500,LBY,Libya,,
501,LBY,Libya,,
502,LBY,Libya,,
505,LBY,Libya,,
506,LBY,Libya,,
507,LBY,Libya,,
509,LBY,Libya,,
511,LBY,Libya,,
512,LBY,Libya,,
513,LBY,Libya,,
514,LBY,Libya,,
516,LBY,Libya,,
518,LBY,Libya,,
521,LBY,Libya,,
523,LBY,Libya,,
525,LBY,Libya,,
526,LBY,Libya,,
527,LBY,Libya,,
529,LBY,Libya,,
530,LCA,Saint Lucia,,
531,LCA,Saint Lucia,,
532,LCA,Saint Lucia,,
533,LCA,Saint Lucia,,
534,LCA,Saint Lucia,,
535,LCA,Saint Lucia,,
536,LCA,Saint Lucia,,
537,LCA,Saint Lucia,,
538,LCA,Saint Lucia,,
539,LCA,Saint Lucia,,
540,LIE,Liechtenstein,,
541,LIE,Liechtenstein,,
542,LIE,Liechtenstein,,
543,LIE,Liechtenstein,,
