ID,ISO,NAME_0,HASC_1,ISONEW,Colony
12193,ANT,Netherlands Antilles,AN.BO,ANT,ANT
12194,ANT,Netherlands Antilles,AN.CU,ANT,ANT
12195,ANT,Netherlands Antilles,AN.SB,ANT,ANT
12196,ANT,Netherlands Antilles,AN.SE,ANT,ANT
12197,ANT,Netherlands Antilles,AN.SM,ANT,ANT
12199,ARE,United Arab Emirates,AE.AJ,ARE,ARE
12200,ARE,United Arab Emirates,AE.DU,ARE,ARE
12201,ARE,United Arab Emirates,AE.FU,ARE,ARE
12202,ARE,United Arab Emirates,,ARE,ARE
12203,ARE,United Arab Emirates,AE.RK,ARE,ARE
12204,ARE,United Arab Emirates,AE.SH,ARE,ARE
12205,ARE,United Arab Emirates,AE.UQ,ARE,ARE
12206,ARG,Argentina,AR.BA,ARG,ARG
12207,ARG,Argentina,AR.CT,ARG,ARG
12208,ARG,Argentina,AR.CC,ARG,ARG
12209,ARG,Argentina,AR.CH,ARG,ARG
12210,ARG,Argentina,AR.DF,ARG,ARG
12211,ARG,Argentina,AR.CB,ARG,ARG
12212,ARG,Argentina,AR.CN,ARG,ARG
12213,ARG,Argentina,AR.ER,ARG,ARG
12214,ARG,Argentina,AR.FM,ARG,ARG
12215,ARG,Argentina,AR.JY,ARG,ARG
12216,ARG,Argentina,AR.LP,ARG,ARG
12217,ARG,Argentina,AR.LR,ARG,ARG
12218,ARG,Argentina,AR.MZ,ARG,ARG
12219,ARG,Argentina,AR.MN,ARG,ARG
12220,ARG,Argentina,AR.NQ,ARG,ARG
12221,ARG,Argentina,AR.RN,ARG,ARG
12222,ARG,Argentina,AR.SA,ARG,ARG
12223,ARG,Argentina,AR.SJ,ARG,ARG
12224,ARG,Argentina,AR.SL,ARG,ARG
12225,ARG,Argentina,AR.SC,ARG,ARG
12226,ARG,Argentina,AR.SF,ARG,ARG
12227,ARG,Argentina,AR.SE,ARG,ARG
12228,ARG,Argentina,AR.TF,ARG,ARG
12229,ARG,Argentina,AR.TM,ARG,ARG
12231,ARM,Armenia,AM.AR,ARM,ARM
12233,ARM,Armenia,AM.ER,ARM,ARM
12234,ARM,Armenia,AM.GR,ARM,ARM
12235,ARM,Armenia,AM.KT,ARM,ARM
12236,ARM,Armenia,,ARM,ARM
12239,ARM,Armenia,AM.SU,ARM,ARM
12240,ARM,Armenia,AM.TV,ARM,ARM
12241,ARM,Armenia,AM.VD,ARM,ARM
12242,ASM,American Samoa,AS.ET,ASM,ASM
12243,ASM,American Samoa,AS.MA,ASM,ASM
12244,ASM,American Samoa,AS.UU,ASM,ASM
12245,ASM,American Samoa,AS.WT,ASM,ASM
12246,ATF,French Southern Territories,TF.AS,ATF,ATF
12247,ATF,French Southern Territories,TF.CR,ATF,ATF
12248,ATF,French Southern Territories,,ATF,ATF
12249,ATF,French Southern Territories,TF.KG,ATF,ATF
12250,ATG,Antigua and Barbuda,AG.BB,ATG,ATG
12251,ATG,Antigua and Barbuda,AG.RD,ATG,ATG
12252,ATG,Antigua and Barbuda,AG.GE,ATG,ATG
12253,ATG,Antigua and Barbuda,AG.JO,ATG,ATG
12254,ATG,Antigua and Barbuda,AG.MA,ATG,ATG
12255,ATG,Antigua and Barbuda,AG.PA,ATG,ATG
