id,vendors,name,city,website,fb_link,bike_brands,prodaja,servis,rent,note,eq_brands
ChIJ6dqp7TaYShMR4oN4i5c7VVg,rentabike17,Rent A Bike Bubu,Omiš,https://www.facebook.com/RentaScooterBikeOmis/,,,0,0,1,,
ChIJ4cKalp6AShMRp4vkjeBL8UU,rentabike18,Rent a Bike & Scooter `PARK` Stari Grad Otok Hvar,Stari Grad,,,,0,0,1,,
ChIJ8SXfA5TAfEcRZUhoTlelAIc,rentabike2,Rent A Bike,Rovinj,http://www.rovinj-rent-scooter-bike.com/,https://www.facebook.com/rent.rovinj.lucky,,0,0,1,,
ChIJqQkoPwb1YUcRgC8wVtugbGQ,rentabike3,rent a bike Nin,Nin,https://rentabikenin.wixsite.com/zadar,https://www.facebook.com/rentabikenin,,0,0,1,,
ChIJhU3F9tiqaEcRRjU6W8TC-HA,rentabike4,Rent a bike,Varaždin,,,,0,0,1,,
ChIJ19DTZJYrY0cRsKKn1aMYJ2w,rentabike5,RENT - A - BIKE,Premantura,,https://www.facebook.com/RENT-A-BIKE-Premantura-917457535047303,,0,0,1,,
ChIJY3E1FbkrY0cReJCkej5x6Mk,rentabike6,RENT A BIKE - Bike Spot Kamenjak,Premantura,http://www.bikespot.com.hr/,https://www.facebook.com/bikespotistra,,0,0,1,,
ChIJEXt8_VhvY0cRRpQynrYuy0M,rentabike7,Rent a Bike Malinska,Malinska,,https://www.facebook.com/MalinskaBikeRental,,0,0,1,,
ChIJd2GFELV8Y0cRxOfxgq7EsKs,rentabike8,RENT A BIKE,Dramalj,http://bikepointcrikvenica.com/,https://www.facebook.com/bikepointcrikvenica/,,0,0,1,,
ChIJXRPjnwKhZEcR086rPGxMRMY,rentabike9,Rent a bike BRI,Rijeka,,http://fb.me/bri.rental,,0,0,1,,
ChIJW95viSihZEcRCLHv5a6lHG4,ribike,RI bike shop&service,Rijeka,http://www.ri-bike.hr/,https://www.facebook.com/ri.bike.shop.and.service,"Cube, Orbea, Ridley, Jumpertrek, Silverback, Cinzia, Atala, Look, Brompton, Tern",1,1,1,imaju puno opreme i katastrofa web shop,"Thule, Campagnolo, Velo, RFR, Shimano, SRAM, Look,  Zipp, Fulcrum, Selle Italia, Cube, RockShox,  Cinelli,  San Marco, Prologo, Regale, Neos, Kenda, Michelin, Schwalbe, Topeak....."
