id,country,city,name,institution_stat,zipcode,date
101,usa,curtis,university of nebraska,ne,69025-9525,8/23/2017
102,usa,waleska,reinhardt college,ga,30183-2981,8/23/2017
103,usa,decatur,east central community coll,ms,39327-8985,8/23/2017
104,usa,springfield,wittenberg university,oh,45504-2534,8/23/2017
105,usa,mount olive,university of mount olive,nc,28365-1263,8/23/2017
106,usa,n charleston,trident tech coll,sc,29406-4607,8/23/2017
107,usa,coeur d alene,north idaho college,id,83814,8/23/2017
108,usa,pembroke pines,broward coll-south,fl,33024,8/23/2017
109,usa,turlock,cal state u - stanislaus,ca,95382,8/23/2017
110,usa,fresno,fresno city college,ca,93741,8/23/2017
111,usa,chico,butte college - chico,ca,95928,8/23/2017
112,usa,bakersfield,bakersfield college,ca,93305,8/23/2017
113,usa,grand junction,colorado mesa university,co,81501-3122,8/23/2017
114,usa,gainesville,santa fe college,fl,32606-6210,8/23/2017
115,usa,belton,univ of mary hardin baylor,tx,76513,8/23/2017
116,usa,kent,kent state university,oh,44242,8/23/2017
117,usa,ames,iowa state university,ia,50011,8/23/2017
118,usa,durham,north carolina central univ,nc,27707-3129,8/23/2017
119,usa,denison,grayson county college,tx,75020,8/23/2017
120,usa,auburn university,auburn u main campus,al,36849,8/23/2017
121,usa,usaf academy,u s air force academy,co,80840,8/23/2017
122,usa,los lunas,unm-main campus,nm,87031,8/23/2017
123,usa,farmington,san juan college,nm,87402-4699,8/23/2017
124,usa,mission,metropolitan community college,bc,v2v 3v5,8/23/2017
125,usa,los angeles,univ of southern california,ca,90089,8/23/2017
126,usa,anderson,anderson university,sc,29621-4002,8/23/2017
127,usa,hattiesburg,u of southern mississippi,ms,39406-0001,8/23/2017
128,usa,norfolk,norfolk state university,va,23504-8050,8/23/2017
129,usa,normal,illinois state university,il,61790,8/23/2017
130,usa,el dorado,butler co comm coll-el dora,ks,67042-3225,8/23/2017
131,usa,fort worth,texas christian university,tx,76129,8/23/2017
132,usa,las cruces,new mexico state university,nm,88003,8/23/2017
133,usa,hilo,hawaii community college,hi,96720,8/23/2017
134,usa,bowling green,western kentucky university,ky,42101-1000,8/23/2017
135,usa,merced,merced college,ca,95348,8/23/2017
136,usa,honolulu,univ of hawaii manoa campus,hi,96822,8/23/2017
137,usa,bradenton,state coll of florida - bradenton,fl,34207-3522,8/23/2017
138,usa,tampa,fl gulf coast chapter abc,fl,33607-3104,8/23/2017
139,usa,ocala,college of central florida,fl,34474-4415,8/23/2017
140,usa,bloomington,indiana univ bloomington,in,47405-7104,8/23/2017
141,usa,statesboro,georgia southern university,ga,30460,8/23/2017
142,usa,hammond,southeastern louisiana univ,la,70402,8/23/2017
143,usa,amarillo,amarillo college,tx,79109-2411,8/23/2017
144,usa,warren,macomb community college,mi,48088,8/23/2017
145,usa,modesto,modesto junior college,ca,95350,8/23/2017
146,usa,lake worth,palm beach state coll - lake worth,fl,33461-4705,8/23/2017
147,usa,miami,fiu -  university park campus,fl,33199,8/23/2017
148,usa,butler,butler county cmty college,pa,16001,8/23/2017
149,usa,brookings,south dakota state univ -br,sd,57007,8/23/2017
150,usa,raleigh,north carolina state univ,nc,27695,8/23/2017
151,usa,williston,williston state college,nd,58801-4464,8/23/2017
152,usa,el reno,redlands community college,ok,73036,8/23/2017
153,usa,cleburn,hill college - johnson campus,tx,76033,8/23/2017
154,usa,tahlequah,northeastern state univ,ok,74464,8/23/2017
155,usa,rocklin,sierra college,ca,95677,8/23/2017
156,usa,newtown,bucks county cmty coll,pa,18940-4106,8/23/2017
157,usa,arkadelphia,ouachita baptist university,ar,71998-0001,8/23/2017
158,usa,waco,baylor university,tx,76798,8/23/2017
159,usa,ste anne bellevu,john abbott college,qc,h9x 3l9,8/23/2017
160,usa,lawrenceville,gwinnett technical college,ga,30043-5702,8/23/2017
161,usa,tempe,arizona state university,az,85281,8/23/2017
162,usa,union,east central college,mo,63084-0529,8/23/2017
163,usa,san bruno,skyline college,ca,94066,8/23/2017
164,usa,greensboro,north carolina a&amp; st univ,nc,27411-0002,8/23/2017
165,usa,plant city,hillsborough cmty coll pc,fl,33563-1540,8/23/2017
166,usa,edwardsville,so illinois u-edwardsville,il,62026-0001,8/23/2017
167,usa,cullowhee,western carolina university,nc,28723,8/23/2017
168,usa,saint cloud,saint cloud state univ,mn,56301,8/23/2017
169,usa,anchorage,univ of alaska - anchorage,ak,99508,8/23/2017
170,usa,muncie,ball state university,in,47306-1022,8/23/2017
171,usa,greeley,univ of northern colorado,co,80639,8/23/2017
172,usa,omaha,creighton university,ne,68178-0001,8/23/2017
173,usa,west columbia,midlands tech coll,sc,29170-2176,8/23/2017
174,usa,montgomery,alabama state university,al,36104-5732,8/23/2017
175,usa,coolidge,central arizona coll,az,85128,8/23/2017
176,usa,cumberland,allegany college of maryland,md,215022596,8/23/2017
177,usa,salt lake city,university of utah,ut,84112-9156,8/23/2017
178,usa,plainview,wayland baptist university,tx,79072,8/23/2017
179,usa,raleigh,wake technical comm coll,nc,27603-5655,8/23/2017
180,usa,madison,dakota state university,sd,57042,8/23/2017
181,usa,stillwater,oklahoma state university,ok,74078,8/23/2017
182,usa,indianapolis,iupui,in,46202,8/23/2017
183,usa,fort myers,florida gulf coast univ,fl,33965-6565,8/23/2017
184,usa,virginia beach,tidewater cc-virginia beach,va,23453-1918,8/23/2017
185,usa,tampa,hillsborough cc/admin,fl,33606,8/23/2017
186,usa,tucson,university of arizona,az,85721,8/23/2017
187,usa,denver,univ of colorado denver,co,80202,8/23/2017
188,usa,honolulu,kapiolani community college,hi,96816,8/23/2017
189,usa,minneapolis,minneapolis comm &amp;tech coll,mn,55403-1710,8/23/2017
190,usa,bloomington,normandale cmty college,mn,55431,8/23/2017
191,usa,carrollton,west ga tech - carroll,ga,30116-6476,8/23/2017
192,usa,columbus,columbus tech,ga,31904-6535,8/23/2017
193,usa,muscle shoals,nw-shoals comm college-ms,al,35661,8/23/2017
194,usa,west haven,university of new haven,ct,06516-1916,8/23/2017
195,usa,lafayette,univ of louisiana - lafayette,la,70506,8/23/2017
196,usa,leesburg,beacon college,fl,34748,8/23/2017
197,usa,wichita falls,vernon  college - wichita fall,tx,76308,8/23/2017
198,usa,mesquite,eastfield college,tx,75150,8/23/2017
199,usa,marietta,chattahoochee technical college,ga,30066,8/23/2017
200,usa,hammond,northshore tech cc - hammond,la,70401-9501,8/23/2017
201,usa,st george,dixie state university,ut,84770,8/23/2017
202,usa,phoenix,arizona state univ - downtown,az,85004,8/23/2017
203,usa,tucson,pima college downtown,az,85709,8/23/2017
204,usa,springfield,ozarks technical college,mo,65802-3625,8/23/2017
205,usa,mayville,mayville state university,nd,58257-1217,8/23/2017
206,usa,fresno,cal state u - fresno,ca,93740,8/23/2017
207,usa,university,university of mississippi,ms,38677,8/23/2017
208,usa,poplar bluff,three rivers cmty college,mo,63901,8/23/2017
209,usa,selma,wallace comm coll - selma,al,36703-2867,8/23/2017
210,usa,omaha,univ of nebraska - omaha,ne,68182-2000,8/23/2017
211,usa,sugar grove,waubonsee comm coll,il,60554,8/23/2017
212,usa,morehead,morehead state university,ky,40351,8/23/2017
213,usa,kansas city,univ missouri - kansas city,mo,64110-2446,8/23/2017
214,usa,chandler,chandler-gilbert cc - chandler,az,85225,8/23/2017
215,usa,athens,university of georgia,ga,30602,8/23/2017
216,usa,manhattan,kansas state university,ks,66506,8/23/2017
217,usa,bentonville,northwest arkansas cmty col,ar,72712,8/23/2017
218,usa,orlando,univ of central florida,fl,32816-0001,8/23/2017
219,usa,new port richey,pasco hernando st coll - npr,fl,34654,8/23/2017
220,usa,dallas,southern methodist univ,tx,75205,8/23/2017
221,usa,wahpeton,north dakota global online campus,nd,58076,8/23/2017
222,usa,clearwater,st petersburg coll-clearwater,fl,33765-2816,8/23/2017
223,usa,wilmington,cape fear community college,nc,28401-3910,8/23/2017
224,usa,colorado springs,univ colorado-colorado sprg,co,80918,8/23/2017
225,usa,wausau,north cntrl tech c-wausau,wi,54401-1880,8/23/2017
226,usa,university park,penn state univ-univ park,pa,16802,8/23/2017
227,usa,rock island,augustana college,il,61201,8/23/2017
228,usa,tulsa,university of tulsa,ok,74104,8/23/2017
229,usa,mankato,mankato state university,mn,56001,8/23/2017
230,usa,macon,central ga tech - macon,ga,31206-3628,8/23/2017
231,usa,dallas,gaston college,nc,28034-1402,8/23/2017
232,usa,prescott,yavapai college,az,86301,8/23/2017
233,usa,jacksonville,edward waters college,fl,32209-6167,8/23/2017
234,usa,altamonte springs,seminole state - altamonte spring,fl,32714,8/23/2017
235,usa,chico,cal state u - chico,ca,95929,8/23/2017
236,usa,oroville,butte college,ca,95965,8/23/2017
237,usa,pittsburg,los medanos college,ca,94565,8/23/2017
238,usa,conway,univ of sc - coastal carolina,sc,29526,8/23/2017
239,usa,south bend,ivy tech comm coll - south bend,in,46601-3415,8/23/2017
240,usa,tyler,tyler junior college,tx,75701,8/23/2017
241,usa,greensboro,univ of nc - greensboro,nc,27403,8/23/2017
242,usa,tucson,pima college-west campus,az,85709,8/23/2017
243,usa,melrose park,triton college,il,60160,8/23/2017
244,usa,savannah,armstrong state university,ga,314191997,8/23/2017
245,usa,portales,eastern nm univ - portales,nm,88130,8/23/2017
246,usa,linn,state tech coll of missouri,mo,65051,8/23/2017
247,usa,dallas,el centro college,tx,75202,8/23/2017
248,usa,deerfield,trinity international univ,il,60015-1241,8/23/2017
249,usa,brooksville,pasco-hernando st coll -  north,fl,34601,8/23/2017
250,usa,coconut creek,broward coll-north,fl,33066-1615,8/23/2017
251,usa,poplarville,pearl river cc-poplarville,ms,39470-2216,8/23/2017
252,usa,conway,coastal carolina university,sc,29526-8279,8/23/2017
253,usa,keysville,vccs - southside va cc - daniel,va,23947-3559,8/23/2017
