ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
81,DEU,Mühldorf,DEU,Mühldorf,DEU,,,
82,DEU,München,DEU,München,DEU,,,
83,DEU,Miesbach,DEU,Miesbach,DEU,,,
84,DEU,Munich Städte,DEU,Munich Städte,DEU,,,
85,DEU,Neuburg-Schrobenhausen,DEU,Neuburg-Schrobenhausen,DEU,,,
86,DEU,Pfaffenhofen,DEU,Pfaffenhofen,DEU,,,
87,DEU,Rosenheim Städte,DEU,Rosenheim Städte,DEU,,,
88,DEU,Rosenheim,DEU,Rosenheim,DEU,,,
89,DEU,Starnberg,DEU,Starnberg,DEU,,,
90,DEU,Traunstein,DEU,Traunstein,DEU,,,
91,DEU,Weilheim-Schongau,DEU,Weilheim-Schongau,DEU,,,
92,DEU,Bamberg Städte,DEU,Bamberg Städte,DEU,,,
93,DEU,Bamberg,DEU,Bamberg,DEU,,,
94,DEU,Bayreuth Städte,DEU,Bayreuth Städte,DEU,,,
95,DEU,Bayreuth,DEU,Bayreuth,DEU,,,
96,DEU,Coburg Städte,DEU,Coburg Städte,DEU,,,
97,DEU,Coburg,DEU,Coburg,DEU,,,
98,DEU,Forchheim,DEU,Forchheim,DEU,,,
99,DEU,Hof Städte,DEU,Hof Städte,DEU,,,
100,DEU,Hof,DEU,Hof,DEU,,,
101,DEU,Kronach,DEU,Kronach,DEU,,,
102,DEU,Kulmbach,DEU,Kulmbach,DEU,,,
103,DEU,Lichtenfels,DEU,Lichtenfels,DEU,,,
104,DEU,Wunsiedel,DEU,Wunsiedel,DEU,,,
105,DEU,Amberg-Sulzbach,DEU,Amberg-Sulzbach,DEU,,,
106,DEU,Amberg Städte,DEU,Amberg Städte,DEU,,,
107,DEU,Cham,DEU,Cham,DEU,,,
108,DEU,Neumarkt,DEU,Neumarkt,DEU,,,
109,DEU,Neustadt,DEU,Neustadt,DEU,,,
110,DEU,Regensburg Städte,DEU,Regensburg Städte,DEU,,,
111,DEU,Regensburg,DEU,Regensburg,DEU,,,
112,DEU,Schwandorf,DEU,Schwandorf,DEU,,,
113,DEU,Tirschenreuth,DEU,Tirschenreuth,DEU,,,
114,DEU,Weiden Städte,DEU,Weiden Städte,DEU,,,
115,DEU,Aichach-Friedberg,DEU,Aichach-Friedberg,DEU,,,
116,DEU,Augsburg Städte,DEU,Augsburg Städte,DEU,,,
117,DEU,Augsburg,DEU,Augsburg,DEU,,,
118,DEU,Dillingen,DEU,Dillingen,DEU,,,
119,DEU,Donau-Ries,DEU,Donau-Ries,DEU,,,
120,DEU,Günzburg,DEU,Günzburg,DEU,,,
121,DEU,Kaufbeuren Städte,DEU,Kaufbeuren Städte,DEU,,,
122,DEU,Kempten Städte,DEU,Kempten Städte,DEU,,,
123,DEU,Lindau,DEU,Lindau,DEU,,,
124,DEU,Memmingen Städte,DEU,Memmingen Städte,DEU,,,
125,DEU,Neu-Ulm,DEU,Neu-Ulm,DEU,,,
126,DEU,Oberallgäu,DEU,Oberallgäu,DEU,,,
127,DEU,Ostallgäu,DEU,Ostallgäu,DEU,,,
128,DEU,Unterallgäu,DEU,Unterallgäu,DEU,,,
129,DEU,Aschaffenburg Städte,DEU,Aschaffenburg Städte,DEU,,,
130,DEU,Aschaffenburg,DEU,Aschaffenburg,DEU,,,
131,DEU,Bad Kissingen,DEU,Bad Kissingen,DEU,,,
132,DEU,Haßberge,DEU,Haßberge,DEU,,,
133,DEU,Kitzingen,DEU,Kitzingen,DEU,,,
134,DEU,Main-Spessart,DEU,Main-Spessart,DEU,,,
135,DEU,Miltenberg,DEU,Miltenberg,DEU,,,
136,DEU,Rhön-Grabfeld,DEU,Rhön-Grabfeld,DEU,,,
